slug,title,publisher,source_type,published_on,retrieved_on,url,notes
derived-dressing-yield,National dressing yield derived from NASS totals,counting-chicken-wings,derived,,2026-07-28,,"Ready-to-cook pounds divided by live weight pounds, both reported by NASS for the same population and period. 48,006,482 / 63,443,212 = 0.75667 for 2025. Not an estimate - it falls directly out of two measured totals."
project-estimate-mixing,Mixing pool sizes reasoned from process equipment scale,counting-chicken-wings,estimate,,2026-07-28,,"Pool sizes for the mixing cascade are OUR ESTIMATES, reasoned from line speeds, chiller residence times, and standard container sizes. They are not measured. Flagged confidence=estimate throughout and shown as such in the UI. The qualitative conclusion is robust to these values: the distinct-individual curve flattens above roughly 1,000 individuals, so any plausible commodity-scale pool lands within a hair of the ceiling."
project-estimate-mixing-parameters,"Mixing model parameters reasoned from grading, packing and portioning",counting-chicken-wings,estimate,,2026-07-31,,"The scalar parameters of the mixing model - how thoroughly a grader splits a pair, how many wings come up in one scoop, how much of ""these two units travelled together"" survives a stage - are OUR ESTIMATES, reasoned from grade-band widths, case and combo-bin sizes, and how a foodservice portion is actually taken from a bin. None of them is measured, and each is flagged confidence=estimate.
They are kept separate from project-estimate-mixing because they are a different claim. That source covers POOL SIZES - how many birds are commingled at a stage. These cover the BEHAVIOUR of a stage, which is reasoned from different evidence and can be wrong independently.
Two of them were previously bare constants in model.py, invisible to this audit. They are here so that ""how much does this number matter?"" is answerable from the corpus rather than from an ad-hoc sweep."
project-estimate-unsourced,Placeholder pending research,counting-chicken-wings,estimate,,2026-07-28,,"Explicit placeholder for stages we know exist but have not yet sourced (transport DOA, grading downgrade, cook loss). Values are deliberately wide and every one is listed in docs/RESEARCH.md open items. Anything citing this source should be treated as unverified."
ams-shell-egg-grades,"United States Standards, Grades, and Weight Classes for Shell Eggs",USDA Agricultural Marketing Service,government,,2026-07-29,https://www.ams.usda.gov/grades-standards/shell-egg-grades-and-standards,"Defines the defect categories and, importantly for us, the TOLERANCES - which are ceilings the pack must stay under, not measured occurrence rates. Consumer Grade AA at origin permits at most 5% checks (7% for jumbo) and at most 0.50% leakers, dirties, and loss combined, with loss itself capped at 0.30%. Grade A permits at most 7% checks (9% jumbo) and 1% combined.
Anything stored from this source is therefore an UPPER BOUND on the true rate and is flagged confidence=industry, never measured. A pack running at the tolerance would be barely passing.
Terminology: a cracked shell is a ""check"". Dirty or cracked eggs are ""restricted"" and may be diverted to an official egg products plant - a ""breaker plant"" - for liquid egg. They are not destroyed, but they do leave the shell-egg stream, which is what makes them a loss for the question ""how many hens for a dozen eggs in a carton""."
aphis-hpai-detections,Confirmations of Highly Pathogenic Avian Influenza in Commercial and Backyard Flocks,USDA Animal and Plant Health Inspection Service,government,,2026-07-28,https://www.aphis.usda.gov/livestock-poultry-disease/avian/avian-influenza/hpai-detections/commercial-backyard-flocks,"1,689 confirmed flocks and 168.62 million birds affected between 2022 and April 2025."
cbs-quarterly-agriculture-2025q2,"Quarterly Agriculture Statistics 2025 Q2, Table 7: Marketing of selected animals and animal products, detailed data",Israel Central Bureau of Statistics,government,,2026-07-29,https://www.cbs.gov.il/he/publications/DocLib/2025/agriculture_q202502/t07.xlsx,"The only source found that puts a head count on Israeli broilers, and a different publication from the three Statistical Abstract tables.
Chick placements, heavy breeds: 275,427,900 head for 2024 and 262,848,753 for 2023. Heavy breeds are broilers; light breeds are layers and turkeys are separate. This retires the unverified trade-press lead of ""~260 million broilers/year"" in docs/ISRAEL-PLAN.md - that is essentially the 2023 placement figure, now with a government citation rather than a headline whose article has since 404ed.
CBS publishes no poultry head slaughtered, in either publication. Table 7 does carry a slaughterhouse head-count block, but its 2024 total of 529,550 is exactly cattle 164,559 plus sheep and goats 229,195 plus pigs 135,796 - poultry is excluded by construction.
Annual figures are in columns Q (2024) and R (2023). The header's ""P = 2011"" appears to be a CBS typo or merged-cell artifact.
Also carries broiler marketing of 571,497 tonnes for 2024, which corroborates Statistical Abstract table 21.4 to within three tonnes across two separately published tables. Not loaded as a mass - see the weight basis conflict recorded on cbs-st21-11-output-2025."
cbs-st21-04-marketing-2025,"Table 21.4, Marketing of animals and animal products by district and regional council - Statistical Abstract of Israel 2025",Israel Central Bureau of Statistics,government,2025-08-14,2026-07-29,https://www.cbs.gov.il/he/publications/DocLib/2025/21.ShnatonAgriculture/st21_04.xlsx,"Broilers MARKETED in tonnes by district and regional council, 2024 only. Settles the open question at the foot of docs/ISRAEL-PLAN.md: Israel does have subnational poultry data, so a comparison against 50 US states need not be visibly lopsided.
Suppression uses ""-"" and "". ."" exactly as NASS does, so the existing ""presence, not volume"" rendering applies unchanged. Six councils are suppressed and are loaded as rows with no value - never as zero.
CROSS-CHECK THAT FAILS, and it travels with either figure: the districts sum to 571,499.95 tonnes against 600,072 tonnes of output in table 21.11, a gap of 4.76%. Marketing excludes self-consumption and private sale by its own footnote 1, so the gap is probably real rather than an error -- but a reader who adds up the districts will find it, and finding it unannounced reads as a mistake in our data.
Footnote 1 also means this is ""by source of product"", not by place of slaughter. Footnote 3 restricts the Judea and Samaria Area row to ""Israeli localities"", so that row counts some of the production in that area and not all of it; it is kept with the publisher's label and the publisher's qualification rather than being renamed or dropped.
""Outside regional councils"" appears once per district in the source. The bare label is not unique, so each is qualified with its district - the figure means nothing without knowing which district it is outside of."
cbs-st21-08-livestock-2025,"Table 21.8, Livestock - Statistical Abstract of Israel 2025",Israel Central Bureau of Statistics,government,2025-08-14,2026-07-29,https://www.cbs.gov.il/he/publications/DocLib/2025/21.ShnatonAgriculture/st21_08.xlsx,"Broilers in thousands, END OF YEAR, ten columns back to 1960 - the longest poultry series available for Israel, and the reason 1960-1990 figures are loaded even though nothing uses them yet.
THE TRAP ON THIS TABLE: 37,895 thousand head for 2024 is a standing flock at a point in time, not annual throughput. Broilers turn over several times a year, so reading it as slaughter understates the answer several times over. Stored as measure='inventory_eoy' so the distinction is in the data and not only in this note. It is the same inventory-versus-throughput caveat already carried on the US census sales figures.
It also neither confirms nor refutes the trade-press lead of ~260 million broilers a year in docs/ISRAEL-PLAN.md, because a flock of 37.9 million turning over five to seven times a year is consistent with it."
cbs-st21-11-output-2025,"Table 21.11, Agricultural output by industry and product - Statistical Abstract of Israel 2025",Israel Central Bureau of Statistics,government,2025-08-14,2026-07-29,https://www.cbs.gov.il/he/publications/DocLib/2025/21.ShnatonAgriculture/st21_11.xlsx,"Broiler output in 1,000 tonnes and value in NIS million for 2024*, 2023, 2020, 2010 and 2000. CBS's own asterisk marks 2024 provisional, and that marker is carried into the data rather than dropped.
Footnote 5 defines broilers as ""Chickens intended for fattening for the meat industry"", which matches our broiler species, so loading it needed no mapping decision.
What it does NOT carry, and the reason Israel cannot yet answer the count question from Israeli data: no head slaughtered, and no average bird weight anywhere in the table. ""Agricultural output"" is also not defined as live or dressed weight, which is why the figure is stored as measure='meat_output' in tonnes rather than mapped onto a US column that would assert one or the other.
Table eggs appear in the same table at 2,661.49 under a column headed ""1,000 tonnes, unless otherwise stated"". That cannot be tonnes for a country of ten million people, so it is one of the ""otherwise stated"" rows and is almost certainly millions of eggs. Not loaded: almost certainly is not a citation."
